VAR,Variable,UNIT,Measure,COU,Country,YEA,Year,Value,Flag Codes,Flags
AVDMPRVM,Preventable mortality,TXCMFETF,Deaths per 100 000 females (standardised rates),ESP,Spain,2017,2017,46,,
AVDMPRVM,Preventable mortality,TXCMFETF,Deaths per 100 000 females (standardised rates),ESP,Spain,2018,2018,45,,
AVDMPRVM,Preventable mortality,TXCMFETF,Deaths per 100 000 females (standardised rates),ESP,Spain,2019,2019,44,,
AVDMPRVM,Preventable mortality,TXCMFETF,Deaths per 100 000 females (standardised rates),ESP,Spain,2020,2020,60,,
AVDMPRVM,Preventable mortality,TXCMFETF,Deaths per 100 000 females (standardised rates),ESP,Spain,2021,2021,57,,
AVDMTRTM,Treatable mortality,NBPOPUPC,Number of total deaths,LTU,Lithuania,2010,2010,5975,,
AVDMTRTM,Treatable mortality,NBPOPUPC,Number of total deaths,LTU,Lithuania,2011,2011,5808,,
AVDMTRTM,Treatable mortality,NBPOPUPC,Number of total deaths,LTU,Lithuania,2012,2012,5708,,
AVDMTRTM,Treatable mortality,NBPOPUPC,Number of total deaths,LTU,Lithuania,2013,2013,5563,,
AVDMTRTM,Treatable mortality,NBPOPUPC,Number of total deaths,LTU,Lithuania,2014,2014,5214,,
AVDMTRTM,Treatable mortality,NBPOPUPC,Number of total deaths,LTU,Lithuania,2015,2015,5473,,
AVDMTRTM,Treatable mortality,NBPOPUPC,Number of total deaths,LTU,Lithuania,2016,2016,5247,,
AVDMTRTM,Treatable mortality,NBPOPUPC,Number of total deaths,LTU,Lithuania,2017,2017,4692,,
AVDMTRTM,Treatable mortality,NBPOPUPC,Number of total deaths,LTU,Lithuania,2018,2018,4716,,
AVDMTRTM,Treatable mortality,NBPOPUPC,Number of total deaths,LTU,Lithuania,2019,2019,4660,,
AVDMTRTM,Treatable mortality,NBPOPUPC,Number of total deaths,LTU,Lithuania,2020,2020,5209,,
AVDMTRTM,Treatable mortality,NBPOPUPC,Number of total deaths,LTU,Lithuania,2021,2021,5094,,
AVDMPRVM,Preventable mortality,NBPOPUPC,Number of total deaths,ISL,Iceland,2010,2010,311,,
AVDMPRVM,Preventable mortality,NBPOPUPC,Number of total deaths,ISL,Iceland,2011,2011,297,,
AVDMPRVM,Preventable mortality,NBPOPUPC,Number of total deaths,ISL,Iceland,2012,2012,290,,
AVDMPRVM,Preventable mortality,NBPOPUPC,Number of total deaths,ISL,Iceland,2013,2013,308,,
AVDMPRVM,Preventable mortality,NBPOPUPC,Number of total deaths,ISL,Iceland,2014,2014,288,,
AVDMPRVM,Preventable mortality,NBPOPUPC,Number of total deaths,ISL,Iceland,2015,2015,313,,
AVDMPRVM,Preventable mortality,NBPOPUPC,Number of total deaths,ISL,Iceland,2016,2016,344,,
AVDMPRVM,Preventable mortality,NBPOPUPC,Number of total deaths,ISL,Iceland,2017,2017,336,,
AVDMPRVM,Preventable mortality,NBPOPUPC,Number of total deaths,ISL,Iceland,2018,2018,323,,
AVDMPRVM,Preventable mortality,NBPOPUPC,Number of total deaths,ISL,Iceland,2019,2019,302,,
AVDMPRVM,Preventable mortality,NBPOPUPC,Number of total deaths,ISL,Iceland,2020,2020,296,,
AVDMPRVM,Preventable mortality,NBPOPUPC,Number of total deaths,ISL,Iceland,2021,2021,336,,
AVDMPRVM,Preventable mortality,NBPOPUPC,Number of total deaths,NOR,Norway,2010,2010,5641,,
AVDMPRVM,Preventable mortality,NBPOPUPC,Number of total deaths,NOR,Norway,2011,2011,5597,,
AVDMPRVM,Preventable mortality,NBPOPUPC,Number of total deaths,NOR,Norway,2012,2012,5455,,
AVDMPRVM,Preventable mortality,NBPOPUPC,Number of total deaths,NOR,Norway,2013,2013,5602,,
AVDMPRVM,Preventable mortality,NBPOPUPC,Number of total deaths,NOR,Norway,2014,2014,5405,,
AVDMPRVM,Preventable mortality,NBPOPUPC,Number of total deaths,NOR,Norway,2015,2015,5516,,
AVDMPRVM,Preventable mortality,NBPOPUPC,Number of total deaths,NOR,Norway,2016,2016,5644,,
AVDMPRVM,Preventable mortality,TXCMFETF,Deaths per 100 000 females (standardised rates),ISR,Israel,2010,2010,54,,
AVDMPRVM,Preventable mortality,TXCMFETF,Deaths per 100 000 females (standardised rates),ISR,Israel,2011,2011,54,,
AVDMPRVM,Preventable mortality,TXCMFETF,Deaths per 100 000 females (standardised rates),ISR,Israel,2012,2012,52,,
AVDMPRVM,Preventable mortality,TXCMFETF,Deaths per 100 000 females (standardised rates),ISR,Israel,2013,2013,49,,
AVDMPRVM,Preventable mortality,TXCMFETF,Deaths per 100 000 females (standardised rates),ISR,Israel,2014,2014,48,,
AVDMPRVM,Preventable mortality,TXCMFETF,Deaths per 100 000 females (standardised rates),ISR,Israel,2015,2015,49,,
AVDMPRVM,Preventable mortality,TXCMFETF,Deaths per 100 000 females (standardised rates),ISR,Israel,2016,2016,44,,
AVDMPRVM,Preventable mortality,TXCMFETF,Deaths per 100 000 females (standardised rates),ISR,Israel,2017,2017,41,,
AVDMPRVM,Preventable mortality,TXCMFETF,Deaths per 100 000 females (standardised rates),ISR,Israel,2018,2018,42,,
AVDMPRVM,Preventable mortality,TXCMFETF,Deaths per 100 000 females (standardised rates),ISR,Israel,2019,2019,42,,
AVDMPRVM,Preventable mortality,TXCMFETF,Deaths per 100 000 females (standardised rates),ISR,Israel,2020,2020,49,,
AVDMTRTM,Treatable mortality,NBFEMEPF,Number of female deaths,ISR,Israel,2010,2010,2094,,
AVDMTRTM,Treatable mortality,NBFEMEPF,Number of female deaths,ISR,Israel,2011,2011,2105,,
AVDMTRTM,Treatable mortality,NBFEMEPF,Number of female deaths,ISR,Israel,2012,2012,2093,,
AVDMTRTM,Treatable mortality,NBFEMEPF,Number of female deaths,ISR,Israel,2013,2013,2098,,
AVDMTRTM,Treatable mortality,NBFEMEPF,Number of female deaths,ISR,Israel,2014,2014,2020,,
AVDMTRTM,Treatable mortality,NBFEMEPF,Number of female deaths,ISR,Israel,2015,2015,2102,,
AVDMTRTM,Treatable mortality,NBFEMEPF,Number of female deaths,ISR,Israel,2016,2016,2128,,
AVDMTRTM,Treatable mortality,NBFEMEPF,Number of female deaths,ISR,Israel,2017,2017,2134,,
AVDMTRTM,Treatable mortality,NBFEMEPF,Number of female deaths,ISR,Israel,2018,2018,2117,,
AVDMTRTM,Treatable mortality,NBFEMEPF,Number of female deaths,ISR,Israel,2019,2019,2175,,
AVDMTRTM,Treatable mortality,NBFEMEPF,Number of female deaths,ISR,Israel,2020,2020,2039,,
AVDMPRVM,Preventable mortality,NBMALEPH,Number of male deaths,MEX,Mexico,2010,2010,119617,,
AVDMPRVM,Preventable mortality,NBMALEPH,Number of male deaths,MEX,Mexico,2011,2011,120446,,
AVDMPRVM,Preventable mortality,NBMALEPH,Number of male deaths,MEX,Mexico,2012,2012,119746,,
AVDMPRVM,Preventable mortality,NBMALEPH,Number of male deaths,MEX,Mexico,2013,2013,117240,,
AVDMPRVM,Preventable mortality,NBMALEPH,Number of male deaths,MEX,Mexico,2014,2014,117763,,
AVDMPRVM,Preventable mortality,NBMALEPH,Number of male deaths,MEX,Mexico,2015,2015,121730,,
AVDMPRVM,Preventable mortality,NBMALEPH,Number of male deaths,MEX,Mexico,2016,2016,131841,,
AVDMPRVM,Preventable mortality,NBMALEPH,Number of male deaths,MEX,Mexico,2017,2017,138809,,
AVDMPRVM,Preventable mortality,NBMALEPH,Number of male deaths,MEX,Mexico,2018,2018,142659,,
AVDMPRVM,Preventable mortality,NBMALEPH,Number of male deaths,MEX,Mexico,2019,2019,146654,,
AVDMPRVM,Preventable mortality,NBMALEPH,Number of male deaths,MEX,Mexico,2020,2020,268267,,
AVDMTRTM,Treatable mortality,NBPOPUPC,Number of total deaths,BRA,Brazil,2010,2010,204124,,
AVDMTRTM,Treatable mortality,NBPOPUPC,Number of total deaths,BRA,Brazil,2011,2011,209473,,
AVDMTRTM,Treatable mortality,NBPOPUPC,Number of total deaths,BRA,Brazil,2012,2012,209128,,
AVDMTRTM,Treatable mortality,NBPOPUPC,Number of total deaths,BRA,Brazil,2013,2013,214877,,
AVDMTRTM,Treatable mortality,NBPOPUPC,Number of total deaths,BRA,Brazil,2014,2014,215715,,
AVDMTRTM,Treatable mortality,NBPOPUPC,Number of total deaths,BRA,Brazil,2015,2015,221578,,
AVDMTRTM,Treatable mortality,NBPOPUPC,Number of total deaths,BRA,Brazil,2016,2016,230293,,
AVDMTRTM,Treatable mortality,NBPOPUPC,Number of total deaths,BRA,Brazil,2017,2017,228600,,
AVDMTRTM,Treatable mortality,NBPOPUPC,Number of total deaths,BRA,Brazil,2018,2018,231831,,
AVDMTRTM,Treatable mortality,NBPOPUPC,Number of total deaths,BRA,Brazil,2019,2019,236610,,
AVDMTRTM,Treatable mortality,NBPOPUPC,Number of total deaths,BRA,Brazil,2020,2020,230526,,
AVDMPRVM,Preventable mortality,TXCMHOTH,Deaths per 100 000 males (standardised rates),NLD,Netherlands,2010,2010,155,,
AVDMPRVM,Preventable mortality,TXCMHOTH,Deaths per 100 000 males (standardised rates),NLD,Netherlands,2011,2011,149,,
AVDMPRVM,Preventable mortality,TXCMHOTH,Deaths per 100 000 males (standardised rates),NLD,Netherlands,2012,2012,146,,
AVDMPRVM,Preventable mortality,TXCMHOTH,Deaths per 100 000 males (standardised rates),NLD,Netherlands,2013,2013,142,,
AVDMPRVM,Preventable mortality,TXCMHOTH,Deaths per 100 000 males (standardised rates),NLD,Netherlands,2014,2014,136,,
AVDMPRVM,Preventable mortality,TXCMHOTH,Deaths per 100 000 males (standardised rates),NLD,Netherlands,2015,2015,138,,
AVDMPRVM,Preventable mortality,TXCMHOTH,Deaths per 100 000 males (standardised rates),NLD,Netherlands,2016,2016,136,,
AVDMPRVM,Preventable mortality,TXCMHOTH,Deaths per 100 000 males (standardised rates),NLD,Netherlands,2017,2017,132,,
AVDMPRVM,Preventable mortality,TXCMHOTH,Deaths per 100 000 males (standardised rates),NLD,Netherlands,2018,2018,128,,
AVDMPRVM,Preventable mortality,TXCMHOTH,Deaths per 100 000 males (standardised rates),NLD,Netherlands,2019,2019,123,,
AVDMPRVM,Preventable mortality,TXCMHOTH,Deaths per 100 000 males (standardised rates),NLD,Netherlands,2020,2020,143,,
AVDMPRVM,Preventable mortality,NBMALEPH,Number of male deaths,PRT,Portugal,2010,2010,10722,,
AVDMPRVM,Preventable mortality,NBMALEPH,Number of male deaths,PRT,Portugal,2011,2011,10490,,
AVDMPRVM,Preventable mortality,NBMALEPH,Number of male deaths,PRT,Portugal,2012,2012,10175,,
AVDMPRVM,Preventable mortality,NBMALEPH,Number of male deaths,PRT,Portugal,2013,2013,10078,,
AVDMPRVM,Preventable mortality,NBMALEPH,Number of male deaths,PRT,Portugal,2014,2014,10343,,
AVDMPRVM,Preventable mortality,NBMALEPH,Number of male deaths,PRT,Portugal,2015,2015,10124,,
AVDMPRVM,Preventable mortality,NBMALEPH,Number of male deaths,PRT,Portugal,2016,2016,10326,,
AVDMPRVM,Preventable mortality,NBMALEPH,Number of male deaths,PRT,Portugal,2017,2017,10265,,
AVDMPRVM,Preventable mortality,NBMALEPH,Number of male deaths,PRT,Portugal,2018,2018,10468,,
AVDMPRVM,Preventable mortality,NBMALEPH,Number of male deaths,PRT,Portugal,2019,2019,10292,,
AVDMPRVM,Preventable mortality,NBFEMEPF,Number of female deaths,NZL,New Zealand,2010,2010,1790,,
AVDMPRVM,Preventable mortality,NBFEMEPF,Number of female deaths,NZL,New Zealand,2011,2011,1947,,
AVDMPRVM,Preventable mortality,NBFEMEPF,Number of female deaths,NZL,New Zealand,2012,2012,1801,,
AVDMPRVM,Preventable mortality,NBFEMEPF,Number of female deaths,NZL,New Zealand,2013,2013,1756,,
AVDMPRVM,Preventable mortality,NBFEMEPF,Number of female deaths,NZL,New Zealand,2014,2014,1834,,
AVDMPRVM,Preventable mortality,NBFEMEPF,Number of female deaths,NZL,New Zealand,2015,2015,1895,,
AVDMPRVM,Preventable mortality,NBFEMEPF,Number of female deaths,NZL,New Zealand,2016,2016,1867,,
AVDMPRVM,Preventable mortality,NBMALEPH,Number of male deaths,SVN,Slovenia,2010,2010,2844,,
AVDMPRVM,Preventable mortality,NBMALEPH,Number of male deaths,SVN,Slovenia,2011,2011,2715,,
AVDMPRVM,Preventable mortality,NBMALEPH,Number of male deaths,SVN,Slovenia,2012,2012,2720,,
AVDMPRVM,Preventable mortality,NBMALEPH,Number of male deaths,SVN,Slovenia,2013,2013,2677,,
AVDMPRVM,Preventable mortality,NBMALEPH,Number of male deaths,SVN,Slovenia,2014,2014,2544,,
AVDMPRVM,Preventable mortality,NBMALEPH,Number of male deaths,SVN,Slovenia,2015,2015,2618,,
AVDMPRVM,Preventable mortality,NBMALEPH,Number of male deaths,SVN,Slovenia,2016,2016,2622,,
AVDMPRVM,Preventable mortality,NBMALEPH,Number of male deaths,SVN,Slovenia,2017,2017,2575,,
AVDMPRVM,Preventable mortality,NBMALEPH,Number of male deaths,SVN,Slovenia,2018,2018,2483,,
AVDMPRVM,Preventable mortality,NBMALEPH,Number of male deaths,SVN,Slovenia,2019,2019,2531,,
AVDMPRVM,Preventable mortality,NBMALEPH,Number of male deaths,SVN,Slovenia,2020,2020,2972,,
AVDMPRVM,Preventable mortality,NBFEMEPF,Number of female deaths,DNK,Denmark,2010,2010,3381,,
AVDMPRVM,Preventable mortality,NBFEMEPF,Number of female deaths,DNK,Denmark,2011,2011,3101,,
AVDMPRVM,Preventable mortality,NBFEMEPF,Number of female deaths,DNK,Denmark,2012,2012,3270,,
AVDMPRVM,Preventable mortality,NBFEMEPF,Number of female deaths,DNK,Denmark,2013,2013,3151,,
AVDMPRVM,Preventable mortality,NBFEMEPF,Number of female deaths,DNK,Denmark,2014,2014,3137,,
AVDMPRVM,Preventable mortality,NBFEMEPF,Number of female deaths,DNK,Denmark,2015,2015,3121,,
AVDMPRVM,Preventable mortality,NBFEMEPF,Number of female deaths,DNK,Denmark,2016,2016,3192,,
AVDMPRVM,Preventable mortality,NBFEMEPF,Number of female deaths,DNK,Denmark,2017,2017,3073,,
AVDMPRVM,Preventable mortality,NBFEMEPF,Number of female deaths,DNK,Denmark,2018,2018,2954,,
AVDMPRVM,Preventable mortality,NBFEMEPF,Number of female deaths,DNK,Denmark,2019,2019,3003,,
AVDMPRVM,Preventable mortality,NBFEMEPF,Number of female deaths,DNK,Denmark,2020,2020,2923,,
AVDMTRTM,Treatable mortality,TXCMFETF,Deaths per 100 000 females (standardised rates),AUS,Australia,2010,2010,56,,
AVDMTRTM,Treatable mortality,TXCMFETF,Deaths per 100 000 females (standardised rates),AUS,Australia,2011,2011,56,,
AVDMTRTM,Treatable mortality,TXCMFETF,Deaths per 100 000 females (standardised rates),AUS,Australia,2012,2012,53,,
AVDMTRTM,Treatable mortality,TXCMFETF,Deaths per 100 000 females (standardised rates),AUS,Australia,2013,2013,51,,
AVDMTRTM,Treatable mortality,TXCMFETF,Deaths per 100 000 females (standardised rates),AUS,Australia,2014,2014,51,,
AVDMTRTM,Treatable mortality,TXCMFETF,Deaths per 100 000 females (standardised rates),AUS,Australia,2015,2015,50,,
AVDMTRTM,Treatable mortality,TXCMFETF,Deaths per 100 000 females (standardised rates),AUS,Australia,2016,2016,50,,
AVDMTRTM,Treatable mortality,TXCMFETF,Deaths per 100 000 females (standardised rates),AUS,Australia,2017,2017,47,,
AVDMTRTM,Treatable mortality,TXCMFETF,Deaths per 100 000 females (standardised rates),AUS,Australia,2018,2018,46,,
AVDMTRTM,Treatable mortality,TXCMFETF,Deaths per 100 000 females (standardised rates),AUS,Australia,2019,2019,48,,
AVDMTRTM,Treatable mortality,TXCMFETF,Deaths per 100 000 females (standardised rates),AUS,Australia,2020,2020,45,,
AVDMTRTM,Treatable mortality,TXCMFETF,Deaths per 100 000 females (standardised rates),AUS,Australia,2021,2021,44,,
AVDMTRTM,Treatable mortality,NBPOPUPC,Number of total deaths,IRL,Ireland,2010,2010,2879,,
AVDMTRTM,Treatable mortality,NBPOPUPC,Number of total deaths,IRL,Ireland,2011,2011,2905,,
AVDMTRTM,Treatable mortality,NBPOPUPC,Number of total deaths,IRL,Ireland,2012,2012,2879,,
AVDMTRTM,Treatable mortality,NBPOPUPC,Number of total deaths,IRL,Ireland,2013,2013,2823,,
AVDMTRTM,Treatable mortality,NBPOPUPC,Number of total deaths,IRL,Ireland,2014,2014,2808,,
AVDMTRTM,Treatable mortality,NBPOPUPC,Number of total deaths,IRL,Ireland,2015,2015,2881,,
AVDMTRTM,Treatable mortality,NBPOPUPC,Number of total deaths,IRL,Ireland,2018,2018,2853,,
AVDMTRTM,Treatable mortality,TXCMHOTH,Deaths per 100 000 males (standardised rates),EST,Estonia,2010,2010,201,,
AVDMTRTM,Treatable mortality,TXCMHOTH,Deaths per 100 000 males (standardised rates),EST,Estonia,2011,2011,186,,
AVDMTRTM,Treatable mortality,TXCMHOTH,Deaths per 100 000 males (standardised rates),EST,Estonia,2012,2012,187,,
AVDMTRTM,Treatable mortality,TXCMHOTH,Deaths per 100 000 males (standardised rates),EST,Estonia,2013,2013,172,,
AVDMTRTM,Treatable mortality,TXCMHOTH,Deaths per 100 000 males (standardised rates),EST,Estonia,2014,2014,177,,
AVDMTRTM,Treatable mortality,TXCMHOTH,Deaths per 100 000 males (standardised rates),EST,Estonia,2015,2015,159,,
AVDMTRTM,Treatable mortality,TXCMHOTH,Deaths per 100 000 males (standardised rates),EST,Estonia,2016,2016,154,,
AVDMTRTM,Treatable mortality,TXCMHOTH,Deaths per 100 000 males (standardised rates),EST,Estonia,2017,2017,157,,
AVDMTRTM,Treatable mortality,TXCMHOTH,Deaths per 100 000 males (standardised rates),EST,Estonia,2018,2018,150,,
AVDMTRTM,Treatable mortality,TXCMHOTH,Deaths per 100 000 males (standardised rates),EST,Estonia,2019,2019,151,,
AVDMTRTM,Treatable mortality,TXCMHOTH,Deaths per 100 000 males (standardised rates),EST,Estonia,2020,2020,145,,
AVDMTRTM,Treatable mortality,TXCMHOTH,Deaths per 100 000 males (standardised rates),EST,Estonia,2021,2021,150,,
AVDMTRTM,Treatable mortality,NBMALEPH,Number of male deaths,NLD,Netherlands,2010,2010,5711,,
AVDMTRTM,Treatable mortality,NBMALEPH,Number of male deaths,NLD,Netherlands,2011,2011,5405,,
AVDMTRTM,Treatable mortality,NBMALEPH,Number of male deaths,NLD,Netherlands,2012,2012,5542,,
AVDMTRTM,Treatable mortality,NBMALEPH,Number of male deaths,NLD,Netherlands,2013,2013,5324,,
AVDMTRTM,Treatable mortality,NBMALEPH,Number of male deaths,NLD,Netherlands,2014,2014,5003,,
AVDMTRTM,Treatable mortality,NBMALEPH,Number of male deaths,NLD,Netherlands,2015,2015,5189,,
AVDMTRTM,Treatable mortality,NBMALEPH,Number of male deaths,NLD,Netherlands,2016,2016,5131,,
AVDMTRTM,Treatable mortality,NBMALEPH,Number of male deaths,NLD,Netherlands,2017,2017,5052,,
AVDMTRTM,Treatable mortality,NBMALEPH,Number of male deaths,NLD,Netherlands,2018,2018,5236,,
AVDMTRTM,Treatable mortality,NBMALEPH,Number of male deaths,NLD,Netherlands,2019,2019,4801,,
AVDMTRTM,Treatable mortality,NBMALEPH,Number of male deaths,NLD,Netherlands,2020,2020,4708,,
AVDMTRTM,Treatable mortality,NBPOPUPC,Number of total deaths,POL,Poland,2010,2010,45373,,
AVDMTRTM,Treatable mortality,NBPOPUPC,Number of total deaths,POL,Poland,2011,2011,44531,,
AVDMTRTM,Treatable mortality,NBPOPUPC,Number of total deaths,POL,Poland,2012,2012,44217,,
AVDMTRTM,Treatable mortality,NBPOPUPC,Number of total deaths,POL,Poland,2013,2013,43591,,
AVDMTRTM,Treatable mortality,NBPOPUPC,Number of total deaths,POL,Poland,2014,2014,40693,,
AVDMTRTM,Treatable mortality,NBPOPUPC,Number of total deaths,POL,Poland,2015,2015,41538,,
AVDMTRTM,Treatable mortality,NBPOPUPC,Number of total deaths,POL,Poland,2016,2016,41895,,
AVDMTRTM,Treatable mortality,NBPOPUPC,Number of total deaths,POL,Poland,2017,2017,43791,,
AVDMTRTM,Treatable mortality,NBPOPUPC,Number of total deaths,POL,Poland,2018,2018,45593,,
AVDMTRTM,Treatable mortality,NBPOPUPC,Number of total deaths,POL,Poland,2019,2019,47092,,
AVDMTRTM,Treatable mortality,NBPOPUPC,Number of total deaths,POL,Poland,2020,2020,51982,,
AVDMTRTM,Treatable mortality,TXCMFETF,Deaths per 100 000 females (standardised rates),TUR,Türkiye,2010,2010,91,D,Difference in methodology
AVDMTRTM,Treatable mortality,TXCMFETF,Deaths per 100 000 females (standardised rates),TUR,Türkiye,2011,2011,90,D,Difference in methodology
AVDMTRTM,Treatable mortality,TXCMFETF,Deaths per 100 000 females (standardised rates),TUR,Türkiye,2012,2012,86,D,Difference in methodology
AVDMTRTM,Treatable mortality,TXCMFETF,Deaths per 100 000 females (standardised rates),TUR,Türkiye,2013,2013,97,D,Difference in methodology
AVDMTRTM,Treatable mortality,TXCMFETF,Deaths per 100 000 females (standardised rates),TUR,Türkiye,2014,2014,101,D,Difference in methodology
AVDMTRTM,Treatable mortality,TXCMFETF,Deaths per 100 000 females (standardised rates),TUR,Türkiye,2015,2015,100,D,Difference in methodology
AVDMTRTM,Treatable mortality,TXCMFETF,Deaths per 100 000 females (standardised rates),TUR,Türkiye,2016,2016,102,D,Difference in methodology
AVDMTRTM,Treatable mortality,TXCMFETF,Deaths per 100 000 females (standardised rates),TUR,Türkiye,2019,2019,89,D,Difference in methodology
AVDMTRTM,Treatable mortality,NBPOPUPC,Number of total deaths,JPN,Japan,2010,2010,93931,,
AVDMTRTM,Treatable mortality,NBPOPUPC,Number of total deaths,JPN,Japan,2011,2011,95024,,
AVDMTRTM,Treatable mortality,NBPOPUPC,Number of total deaths,JPN,Japan,2012,2012,92570,,
AVDMTRTM,Treatable mortality,NBPOPUPC,Number of total deaths,JPN,Japan,2013,2013,90816,,
AVDMTRTM,Treatable mortality,NBPOPUPC,Number of total deaths,JPN,Japan,2014,2014,90775,,
AVDMTRTM,Treatable mortality,NBPOPUPC,Number of total deaths,JPN,Japan,2015,2015,89080,,
